NODE_ID,MSG_COUNT,RSSI_PLACEHOLDER,TIMESTAMP_GPS,LATITUDE,LONGITUDE,CO2_PPM,CO_PPM,TEMPERATURE_C,HUMIDITY_PERC,SERVER_TIMESTAMP_UTC
barcoAM01,55,0,2025-06-04T20:36:46.00Z,N/A,N/A,nan,10.0,29.1,52.0,2025-06-04T20:36:43.250941Z
barcoAM01,56,0,2025-06-04T20:36:47.00Z,N/A,N/A,nan,10.0,29.9,52.0,2025-06-04T20:36:44.328428Z
barcoAM01,57,0,2025-06-04T20:36:48.00Z,N/A,N/A,nan,10.0,29.8,52.0,2025-06-04T20:36:45.302545Z
barcoAM01,58,0,2025-06-04T20:36:49.00Z,N/A,N/A,nan,10.0,29.7,52.0,2025-06-04T20:36:46.179253Z
barcoAM01,59,0,2025-06-04T20:36:50.00Z,N/A,N/A,nan,10.0,29.1,52.0,2025-06-04T20:36:47.141392Z
barcoAM01,60,0,2025-06-04T20:36:50.00Z,N/A,N/A,nan,10.0,29.3,52.0,2025-06-04T20:36:48.216230Z
barcoAM01,61,0,2025-06-04T20:36:52.00Z,N/A,N/A,nan,10.0,29.9,52.0,2025-06-04T20:36:49.202506Z
barcoAM01,62,0,2025-06-04T20:36:53.00Z,N/A,N/A,nan,10.0,29.6,52.0,2025-06-04T20:36:50.265744Z
barcoAM01,63,0,2025-06-04T20:36:54.00Z,N/A,N/A,nan,10.0,29.5,52.0,2025-06-04T20:36:51.264592Z
barcoAM01,64,0,2025-06-04T20:36:55.00Z,N/A,N/A,nan,10.0,29.1,52.0,2025-06-04T20:36:52.296359Z
barcoAM01,65,0,2025-06-04T20:36:56.00Z,N/A,N/A,nan,10.0,29.5,52.0,2025-06-04T20:36:53.323273Z
barcoAM01,66,0,2025-06-04T20:36:56.00Z,N/A,N/A,nan,10.0,29.6,52.0,2025-06-04T20:36:54.145899Z
barcoAM01,67,0,2025-06-04T20:36:58.00Z,N/A,N/A,nan,10.0,29.3,52.0,2025-06-04T20:36:55.167778Z
barcoAM01,68,0,2025-06-04T20:36:59.00Z,N/A,N/A,nan,10.0,29.9,52.0,2025-06-04T20:36:56.163186Z
barcoAM01,69,0,2025-06-04T20:37:00.00Z,N/A,N/A,nan,10.0,29.5,52.0,2025-06-04T20:36:57.239121Z
barcoAM01,70,0,2025-06-04T20:37:01.00Z,N/A,N/A,nan,10.0,29.7,52.0,2025-06-04T20:36:58.290588Z
barcoAM01,71,0,2025-06-04T20:37:02.00Z,N/A,N/A,nan,10.0,29.3,52.0,2025-06-04T20:36:59.263156Z
barcoAM01,72,0,2025-06-04T20:37:02.00Z,N/A,N/A,nan,10.0,29.0,52.0,2025-06-04T20:37:00.134784Z
barcoAM01,73,0,2025-06-04T20:37:04.00Z,N/A,N/A,nan,10.0,29.7,52.0,2025-06-04T20:37:01.378825Z
barcoAM01,74,0,2025-06-04T20:37:05.00Z,N/A,N/A,nan,10.0,29.2,52.0,2025-06-04T20:37:02.340394Z
barcoAM01,75,0,2025-06-04T20:37:06.00Z,N/A,N/A,nan,10.0,29.3,52.0,2025-06-04T20:37:03.376390Z
barcoAM01,76,0,2025-06-04T20:37:07.00Z,N/A,N/A,nan,10.0,29.1,52.0,2025-06-04T20:37:04.185374Z
barcoAM01,77,0,2025-06-04T20:37:08.00Z,N/A,N/A,nan,10.0,29.7,52.0,2025-06-04T20:37:05.213239Z
barcoAM01,78,0,2025-06-04T20:37:08.00Z,N/A,N/A,nan,10.0,29.8,52.0,2025-06-04T20:37:06.218013Z
barcoAM01,79,0,2025-06-04T20:37:10.00Z,N/A,N/A,nan,10.0,29.7,52.0,2025-06-04T20:37:07.166740Z
barcoAM01,80,0,2025-06-04T20:37:11.00Z,N/A,N/A,nan,10.0,29.8,52.0,2025-06-04T20:37:08.157426Z
barcoAM01,81,0,2025-06-04T20:37:12.00Z,N/A,N/A,nan,10.0,29.1,52.0,2025-06-04T20:37:09.280313Z
barcoAM01,82,0,2025-06-04T20:37:13.00Z,N/A,N/A,nan,10.0,29.7,52.0,2025-06-04T20:37:10.385545Z
barcoAM01,83,0,2025-06-04T20:37:14.00Z,N/A,N/A,nan,10.0,29.3,52.0,2025-06-04T20:37:11.112342Z
barcoAM01,84,0,2025-06-04T20:37:14.00Z,N/A,N/A,nan,10.0,29.5,52.0,2025-06-04T20:37:12.348363Z
barcoAM01,85,0,2025-06-04T20:37:16.00Z,N/A,N/A,nan,10.0,29.2,52.0,2025-06-04T20:37:13.310013Z
barcoAM01,86,0,2025-06-04T20:37:17.00Z,N/A,N/A,nan,10.0,29.7,52.0,2025-06-04T20:37:14.152518Z
barcoAM01,87,0,2025-06-04T20:37:18.00Z,N/A,N/A,nan,10.0,29.3,53.0,2025-06-04T20:37:15.115457Z
barcoAM01,88,0,2025-06-04T20:37:19.00Z,N/A,N/A,nan,10.0,29.0,53.0,2025-06-04T20:37:16.201174Z
barcoAM01,89,0,2025-06-04T20:37:20.00Z,N/A,N/A,nan,10.0,29.4,52.0,2025-06-04T20:37:17.209139Z
barcoAM01,90,0,2025-06-04T20:37:20.00Z,N/A,N/A,nan,10.0,29.2,52.0,2025-06-04T20:37:18.384139Z
barcoAM01,91,0,2025-06-04T20:37:22.00Z,N/A,N/A,nan,10.0,29.2,52.0,2025-06-04T20:37:19.224233Z
barcoAM01,92,0,2025-06-04T20:37:23.00Z,N/A,N/A,nan,10.0,29.9,52.0,2025-06-04T20:37:20.231942Z
barcoAM01,93,0,2025-06-04T20:37:24.00Z,N/A,N/A,nan,10.0,29.7,53.0,2025-06-04T20:37:21.168884Z
barcoAM01,94,0,2025-06-04T20:37:25.00Z,N/A,N/A,nan,10.0,29.3,53.0,2025-06-04T20:37:22.408709Z
barcoAM01,95,0,2025-06-04T20:37:26.00Z,N/A,N/A,nan,10.0,29.4,53.0,2025-06-04T20:37:23.215875Z
barcoAM01,96,0,2025-06-04T20:37:26.00Z,N/A,N/A,nan,10.0,29.9,52.0,2025-06-04T20:37:24.228313Z
barcoAM01,97,0,2025-06-04T20:37:28.00Z,N/A,N/A,nan,10.0,29.6,52.0,2025-06-04T20:37:25.164513Z
barcoAM01,98,0,2025-06-04T20:37:29.00Z,N/A,N/A,nan,10.0,29.3,52.0,2025-06-04T20:37:26.293624Z
barcoAM01,99,0,2025-06-04T20:37:30.00Z,N/A,N/A,nan,10.0,29.0,52.0,2025-06-04T20:37:27.209221Z
barcoAM01,100,0,2025-06-04T20:37:31.00Z,N/A,N/A,nan,10.0,29.5,52.0,2025-06-04T20:37:28.115025Z
barcoAM01,101,0,2025-06-04T20:37:32.00Z,N/A,N/A,nan,10.0,29.9,52.0,2025-06-04T20:37:29.356314Z
barcoAM01,102,0,2025-06-04T20:37:32.00Z,N/A,N/A,nan,10.0,29.9,52.0,2025-06-04T20:37:30.288386Z
barcoAM01,103,0,2025-06-04T20:37:34.00Z,N/A,N/A,nan,10.0,29.3,52.0,2025-06-04T20:37:31.208068Z
barcoAM01,104,0,2025-06-04T20:37:35.00Z,N/A,N/A,nan,10.0,29.3,52.0,2025-06-04T20:37:32.200714Z
barcoAM01,105,0,2025-06-04T20:37:36.00Z,N/A,N/A,nan,10.0,29.5,52.0,2025-06-04T20:37:33.332340Z
barcoAM01,106,0,2025-06-04T20:37:37.00Z,N/A,N/A,nan,10.0,29.1,52.0,2025-06-04T20:37:34.166809Z
barcoAM01,107,0,2025-06-04T20:37:38.00Z,N/A,N/A,nan,10.0,29.5,52.0,2025-06-04T20:37:35.287812Z
barcoAM01,108,0,2025-06-04T20:37:38.00Z,N/A,N/A,nan,10.0,29.6,52.0,2025-06-04T20:37:36.196614Z
barcoAM01,109,0,2025-06-04T20:37:40.00Z,N/A,N/A,nan,10.0,29.9,52.0,2025-06-04T20:37:37.134036Z
barcoAM01,110,0,2025-06-04T20:37:41.00Z,N/A,N/A,nan,10.0,29.8,51.0,2025-06-04T20:37:38.345495Z
barcoAM01,111,0,2025-06-04T20:37:42.00Z,N/A,N/A,nan,10.0,29.1,51.0,2025-06-04T20:37:39.179748Z
barcoAM01,112,0,2025-06-04T20:37:43.00Z,N/A,N/A,nan,10.0,29.9,51.0,2025-06-04T20:37:40.189962Z
barcoAM01,113,0,2025-06-04T20:37:44.00Z,N/A,N/A,nan,10.0,29.3,51.0,2025-06-04T20:37:41.097292Z
barcoAM01,114,0,2025-06-04T20:37:44.00Z,N/A,N/A,nan,10.0,29.7,51.0,2025-06-04T20:37:42.150314Z
barcoAM01,115,0,2025-06-04T20:37:46.00Z,N/A,N/A,nan,10.0,29.4,51.0,2025-06-04T20:37:43.263083Z
barcoAM01,116,0,2025-06-04T20:37:47.00Z,N/A,N/A,nan,10.0,29.6,51.0,2025-06-04T20:37:44.320625Z
barcoAM01,117,0,2025-06-04T20:37:48.00Z,N/A,N/A,nan,10.0,29.7,51.0,2025-06-04T20:37:45.216111Z
barcoAM01,118,0,2025-06-04T20:37:49.00Z,N/A,N/A,nan,10.0,29.5,51.0,2025-06-04T20:37:46.118293Z
barcoAM01,119,0,2025-06-04T20:37:50.00Z,N/A,N/A,nan,10.0,29.3,51.0,2025-06-04T20:37:47.123538Z
barcoAM01,120,0,2025-06-04T20:37:50.00Z,N/A,N/A,nan,10.0,29.8,51.0,2025-06-04T20:37:48.200773Z
barcoAM01,121,0,2025-06-04T20:37:52.00Z,N/A,N/A,nan,10.0,29.6,51.0,2025-06-04T20:37:49.112268Z
barcoAM01,122,0,2025-06-04T20:37:53.00Z,N/A,N/A,nan,10.0,29.7,51.0,2025-06-04T20:37:50.216066Z
barcoAM01,123,0,2025-06-04T20:37:54.00Z,N/A,N/A,nan,10.0,29.9,51.0,2025-06-04T20:37:51.277096Z
barcoAM01,124,0,2025-06-04T20:37:55.00Z,N/A,N/A,nan,10.0,29.3,51.0,2025-06-04T20:37:52.279067Z
barcoAM01,125,0,2025-06-04T20:37:56.00Z,N/A,N/A,nan,10.0,29.0,51.0,2025-06-04T20:37:53.209752Z
barcoAM01,126,0,2025-06-04T20:37:56.00Z,N/A,N/A,nan,10.0,29.9,51.0,2025-06-04T20:37:54.123139Z
barcoAM01,127,0,2025-06-04T20:37:58.00Z,N/A,N/A,nan,10.0,29.4,51.0,2025-06-04T20:37:55.156371Z
barcoAM01,128,0,2025-06-04T20:37:59.00Z,N/A,N/A,nan,10.0,29.3,51.0,2025-06-04T20:37:56.184729Z
barcoAM01,129,0,2025-06-04T20:38:00.00Z,N/A,N/A,nan,10.0,29.0,51.0,2025-06-04T20:37:57.210033Z
barcoAM01,130,0,2025-06-04T20:38:01.00Z,N/A,N/A,nan,10.0,29.3,51.0,2025-06-04T20:37:58.320353Z
barcoAM01,131,0,2025-06-04T20:38:02.00Z,N/A,N/A,nan,10.0,29.8,51.0,2025-06-04T20:37:59.146663Z
barcoAM01,132,0,2025-06-04T20:38:02.00Z,N/A,N/A,nan,10.0,29.9,51.0,2025-06-04T20:38:00.118184Z
barcoAM01,133,0,2025-06-04T20:38:04.00Z,N/A,N/A,nan,10.0,29.0,51.0,2025-06-04T20:38:01.298010Z
barcoAM01,134,0,2025-06-04T20:38:05.00Z,N/A,N/A,nan,10.0,29.7,51.0,2025-06-04T20:38:02.110191Z
barcoAM01,135,0,2025-06-04T20:38:06.00Z,N/A,N/A,nan,10.0,29.9,51.0,2025-06-04T20:38:03.128546Z
barcoAM01,136,0,2025-06-04T20:38:07.00Z,N/A,N/A,nan,10.0,29.7,51.0,2025-06-04T20:38:04.163989Z
barcoAM01,137,0,2025-06-04T20:38:08.00Z,N/A,N/A,nan,10.0,29.3,51.0,2025-06-04T20:38:05.188942Z
barcoAM01,138,0,2025-06-04T20:38:08.00Z,N/A,N/A,nan,10.0,29.8,51.0,2025-06-04T20:38:06.220764Z
barcoAM01,139,0,2025-06-04T20:38:10.00Z,N/A,N/A,nan,10.0,29.6,51.0,2025-06-04T20:38:07.133180Z
barcoAM01,140,0,2025-06-04T20:38:11.00Z,N/A,N/A,nan,10.0,29.4,51.0,2025-06-04T20:38:08.144337Z
barcoAM01,141,0,2025-06-04T20:38:12.00Z,N/A,N/A,nan,10.0,29.6,51.0,2025-06-04T20:38:09.275234Z
barcoAM01,142,0,2025-06-04T20:38:13.00Z,N/A,N/A,nan,10.0,29.1,51.0,2025-06-04T20:38:10.508532Z
barcoAM01,143,0,2025-06-04T20:38:14.00Z,N/A,N/A,nan,10.0,29.6,51.0,2025-06-04T20:38:11.227579Z
barcoAM01,144,0,2025-06-04T20:38:14.00Z,N/A,N/A,nan,10.0,29.1,51.0,2025-06-04T20:38:12.134794Z
barcoAM01,145,0,2025-06-04T20:38:16.00Z,N/A,N/A,nan,10.0,29.6,51.0,2025-06-04T20:38:13.112171Z
barcoAM01,146,0,2025-06-04T20:38:17.00Z,N/A,N/A,nan,10.0,29.5,51.0,2025-06-04T20:38:14.288856Z
barcoAM01,147,0,2025-06-04T20:38:18.00Z,N/A,N/A,nan,10.0,29.4,51.0,2025-06-04T20:38:15.289637Z
barcoAM01,148,0,2025-06-04T20:38:19.00Z,N/A,N/A,nan,10.0,29.5,51.0,2025-06-04T20:38:16.446477Z
barcoAM01,149,0,2025-06-04T20:38:20.00Z,N/A,N/A,nan,10.0,29.6,51.0,2025-06-04T20:38:17.169569Z
